                                                                                  Digital Campaign Performance Report                                                                                   

Channel     Campaign                   Budget    Spend     Budget Util%  Impressions  Clicks    CTR       Conversions  CVR       CPC (£)   CPL (£)   ROAS    
Display     Spring Offers              7,018     6,279     89.5%         368,167      12,523    3.40%     1,740        13.89%    0.50      3.61      27.71   
PPC         Christmas Special          88,820    57,769    65.0%         259,232      1,590     0.61%     85           5.35%     36.33     679.56    0.15    
Display     Black Friday               28,389    28,383    100.0%        275,675      13,766    4.99%     1,195        8.68%     2.06      23.75     4.21    
Social      Black Friday               36,972    23,067    62.4%         640,015      19,509    3.05%     272          1.39%     1.18      84.80     1.18    
Email       Spring Offers              88,663    61,216    69.0%         801,933      34,186    4.26%     4,973        14.55%    1.79      12.31     8.12    
PPC         New Year Boost             91,774    57,983    63.2%         222,758      10,637    4.78%     497          4.67%     5.45      116.66    0.86    
Email       Spring Offers              13,145    7,074     53.8%         87,562       896       1.02%     54           6.03%     7.89      130.97    0.76    
Social      Spring Offers              45,720    40,226    88.0%         781,794      10,620    1.36%     1,988        18.72%    3.79      20.23     4.94    
Email       Christmas Special          39,813    33,013    82.9%         374,423      18,629    4.98%     2,920        15.67%    1.77      11.31     8.85    
Display     Summer Deals               63,657    55,487    87.2%         948,064      6,515     0.69%     933          14.32%    8.52      59.47     1.68    
Social      Back to School             79,002    63,094    79.9%         146,896      4,915     3.35%     497          10.11%    12.84     126.95    0.79    
PPC         Spring Offers              91,280    78,254    85.7%         984,194      12,345    1.25%     1,039        8.42%     6.34      75.32     1.33    
PPC         Summer Deals               57,643    40,206    69.7%         184,217      5,018     2.72%     689          13.73%    8.01      58.35     1.71    
Social      Back to School             83,566    77,321    92.5%         311,932      3,795     1.22%     545          14.36%    20.37     141.87    0.70    
PPC         Back to School             37,136    27,565    74.2%         850,892      39,355    4.63%     7,664        19.47%    0.70      3.60      27.80   
Display     Christmas Special          16,296    12,434    76.3%         758,150      7,875     1.04%     669          8.50%     1.58      18.59     5.38    
Display     Back to School             13,340    13,221    99.1%         732,386      35,791    4.89%     4,937        13.79%    0.37      2.68      37.34   
PPC         Back to School             92,252    73,936    80.1%         790,657      7,385     0.93%     261          3.53%     10.01     283.27    0.35    
Social      Spring Offers              88,369    46,760    52.9%         296,281      9,954     3.36%     138          1.39%     4.70      338.82    0.30    
Display     Back to School             9,815     8,938     91.1%         406,831      11,773    2.89%     549          4.66%     0.76      16.28     6.14    
PPC         Black Friday               72,879    69,482    95.3%         368,444      2,728     0.74%     337          12.35%    25.47     206.17    0.49    
PPC         Spring Offers              59,535    43,942    73.8%         589,624      8,901     1.51%     975          10.95%    4.94      45.07     2.22    
Email       Black Friday               67,353    49,392    73.3%         864,651      24,020    2.78%     1,991        8.29%     2.06      24.81     4.03    
Display     Christmas Special          18,154    9,744     53.7%         136,426      3,557     2.61%     521          14.65%    2.74      18.70     5.35    
Email       Christmas Special          96,211    77,070    80.1%         183,548      4,109     2.24%     340          8.27%     18.76     226.67    0.44    
Social      New Year Boost             81,248    65,527    80.7%         179,576      8,890     4.95%     886          9.97%     7.37      73.96     1.35    
Display     Christmas Special          64,466    64,397    99.9%         959,456      14,577    1.52%     1,273        8.73%     4.42      50.59     1.98    
Display     Summer Deals               11,894    10,821    91.0%         987,173      15,369    1.56%     3,066        19.95%    0.70      3.53      28.33   
Social      Christmas Special          38,258    19,503    51.0%         510,430      15,830    3.10%     671          4.24%     1.23      29.06     3.44    
PPC         New Year Boost             49,010    35,475    72.4%         399,809      6,620     1.66%     1,108        16.74%    5.36      32.02     3.12    
Display     Spring Offers              19,940    15,561    78.0%         964,638      29,359    3.04%     3,423        11.66%    0.53      4.55      22.00   
Email       Summer Deals               67,608    66,377    98.2%         490,845      17,706    3.61%     1,732        9.78%     3.75      38.32     2.61    
Display     Spring Offers              55,876    38,886    69.6%         63,613       2,897     4.55%     182          6.28%     13.42     213.65    0.47    
Social      Summer Deals               57,315    31,074    54.2%         716,947      11,194    1.56%     1,806        16.13%    2.78      17.21     5.81    
Display     Back to School             26,901    24,563    91.3%         549,013      3,095     0.56%     264          8.53%     7.94      93.04     1.07    
Social      Black Friday               81,578    75,587    92.7%         789,220      4,039     0.51%     721          17.85%    18.71     104.83    0.95    
Display     Christmas Special          78,049    70,216    90.0%         661,804      9,794     1.48%     1,515        15.47%    7.17      46.35     2.16    
Email       New Year Boost             89,074    53,635    60.2%         621,715      3,474     0.56%     441          12.69%    15.44     121.62    0.82    
Email       Christmas Special          23,862    16,304    68.3%         766,763      19,362    2.53%     2,615        13.51%    0.84      6.23      16.04   
Social      Summer Deals               63,683    57,714    90.6%         699,766      16,577    2.37%     1,966        11.86%    3.48      29.36     3.41    
Display     Black Friday               98,760    54,909    55.6%         622,523      16,626    2.67%     772          4.64%     3.30      71.12     1.41    
PPC         Spring Offers              18,512    15,410    83.2%         296,951      8,671     2.92%     1,507        17.38%    1.78      10.23     9.78    
Social      Back to School             78,844    68,564    87.0%         109,394      2,519     2.30%     67           2.66%     27.22     1,023.18  0.10    
Display     Back to School             51,073    46,343    90.7%         942,426      16,431    1.74%     1,832        11.15%    2.82      25.30     3.95    
Email       Spring Offers              8,235     6,238     75.8%         146,113      5,876     4.02%     178          3.03%     1.06      35.05     2.85    
Social      Summer Deals               7,944     7,648     96.3%         268,116      9,242     3.45%     1,737        18.79%    0.83      4.40      22.71   
PPC         Christmas Special          63,768    56,573    88.7%         808,758      10,248    1.27%     1,648        16.08%    5.52      34.33     2.91    
PPC         Summer Deals               86,366    50,203    58.1%         161,900      1,937     1.20%     78           4.03%     25.92     643.55    0.16    
Social      Summer Deals               48,362    44,251    91.5%         118,695      3,272     2.76%     579          17.70%    13.52     76.43     1.31    
Social      Spring Offers              51,627    29,349    56.8%         453,764      3,250     0.72%     345          10.62%    9.03      85.07     1.18    
Email       Spring Offers              61,324    61,163    99.7%         139,241      3,292     2.36%     378          11.48%    18.58     161.80    0.62    
Display     New Year Boost             81,508    64,575    79.2%         462,139      21,610    4.68%     3,330        15.41%    2.99      19.39     5.16    
Email       Black Friday               47,071    23,671    50.3%         244,159      4,193     1.72%     268          6.39%     5.65      88.32     1.13    
Social      Black Friday               81,399    50,153    61.6%         953,157      38,722    4.06%     4,009        10.35%    1.30      12.51     7.99    
PPC         Back to School             63,771    38,217    59.9%         244,809      6,995     2.86%     148          2.12%     5.46      258.21    0.39    
PPC         Summer Deals               31,224    17,888    57.3%         307,303      7,140     2.32%     1,230        17.23%    2.51      14.54     6.88    
Social      Summer Deals               68,398    36,443    53.3%         204,587      7,477     3.65%     332          4.44%     4.87      109.76    0.91    
Social      Summer Deals               74,705    48,003    64.3%         367,444      3,073     0.84%     591          19.23%    15.62     81.22     1.23    
PPC         Summer Deals               78,826    71,095    90.2%         650,417      31,298    4.81%     2,710        8.66%     2.27      26.23     3.81    
Email       Spring Offers              43,301    37,537    86.7%         801,753      32,223    4.02%     6,043        18.75%    1.16      6.21      16.10   
Display     Spring Offers              69,645    50,018    71.8%         924,541      27,029    2.92%     4,652        17.21%    1.85      10.75     9.30    
Display     Christmas Special          39,168    30,304    77.4%         771,527      4,327     0.56%     469          10.84%    7.00      64.61     1.55    
PPC         Christmas Special          90,738    89,216    98.3%         575,694      18,265    3.17%     688          3.77%     4.88      129.67    0.77    
Display     Black Friday               53,782    47,689    88.7%         943,091      45,197    4.79%     4,054        8.97%     1.06      11.76     8.50    
PPC         New Year Boost             37,090    18,574    50.1%         918,414      25,844    2.81%     3,159        12.22%    0.72      5.88      17.01   
PPC         Spring Offers              65,114    53,023    81.4%         802,403      26,040    3.25%     5,122        19.67%    2.04      10.35     9.66    
Display     Christmas Special          47,281    40,202    85.0%         246,392      12,055    4.89%     800          6.64%     3.33      50.25     1.99    
Display     Summer Deals               6,142     5,675     92.4%         493,476      15,731    3.19%     619          3.93%     0.36      9.17      10.91   
Email       New Year Boost             33,885    17,854    52.7%         706,930      29,972    4.24%     5,194        17.33%    0.60      3.44      29.09   
Social      Spring Offers              23,115    20,151    87.2%         401,032      8,694     2.17%     327          3.76%     2.32      61.62     1.62    
Social      Spring Offers              48,519    47,761    98.4%         735,854      4,557     0.62%     222          4.87%     10.48     215.13    0.46    
Display     New Year Boost             56,274    40,763    72.4%         523,991      9,242     1.76%     265          2.87%     4.41      153.82    0.65    
Social      Spring Offers              43,069    23,405    54.3%         531,893      19,667    3.70%     256          1.30%     1.19      91.42     1.09    
Social      Back to School             14,501    13,253    91.4%         578,903      28,404    4.91%     3,505        12.34%    0.47      3.78      26.45


CONFIDENTIAL – For Internal Use Only
